"week_end_date","region","copies_per_day_per_person","population_covered","n_sites"
"2023-09-17","Marlborough","1617934","31000","1"
"2023-09-17","Northland","1574265","65000","1"
"2023-09-17","Hawke's Bay","5614824","135000","2"
"2023-09-17","Wellington","2598268","459200","6"
"2023-09-17","West Coast","37000","10000","1"
"2023-09-17","Bay of Plenty","1959837","202020","5"
"2023-09-17","Southland","4506621","58000","2"
"2023-09-17","Canterbury","2140522","449000","4"
"2023-09-17","Auckland","1338782","1355000","4"
"2023-09-10","Bay of Plenty","2429761","202020","5"
"2023-09-10","Waikato","1392676","192000","2"
"2023-09-10","Taranaki","1439484","100000","2"
"2023-09-10","Tasman","3877061","8300","1"
"2023-09-10","Northland","1893102","65000","1"
"2023-09-10","Manawatu-Whanganui","2338759","155700","3"
"2023-09-10","Otago","2133796","161500","4"
"2023-09-10","Hawke's Bay","3942682","135000","2"
"2023-09-10","Nelson","1060751","86000","2"
"2023-09-10","Gisborne","3718630","37000","1"
"2023-09-10","Auckland","1439251","1355000","4"
"2023-09-10","Southland","4519917","58000","2"
"2023-09-10","Wellington","2450639","459200","6"
"2023-09-10","West Coast","116210","15000","2"
"2023-09-10","Marlborough","896642","31000","1"
"2023-09-10","Canterbury","3001600","449000","4"
"2023-09-03","West Coast","24667","15000","2"
"2023-09-03","Hawke's Bay","8057100","135000","2"
"2023-09-03","Bay of Plenty","1465779","202020","5"
"2023-09-03","Taranaki","2424338","100000","2"
"2023-09-03","Manawatu-Whanganui","1188720","155700","3"
"2023-09-03","Otago","1050682","161500","4"
"2023-09-03","Tasman","0","8300","1"
"2023-09-03","Gisborne","1969033","37000","1"
"2023-09-03","Nelson","2634698","26000","1"
"2023-09-03","Waikato","1293449","202600","4"
"2023-09-03","Canterbury","801540","449000","4"
"2023-09-03","Auckland","1517035","1355000","4"
"2023-09-03","Southland","4373199","58000","2"
"2023-09-03","Wellington","1711100","459200","6"
"2023-09-03","Marlborough","589490","31000","1"
"2023-09-03","Northland","465627","5000","1"
"2023-08-27","Wellington","874091","459200","6"
"2023-08-27","Marlborough","3242377","31000","1"
"2023-08-27","Bay of Plenty","2370973","202020","5"
"2023-08-27","Canterbury","2204456","449000","4"
"2023-08-27","Auckland","1451780","1355000","4"
"2023-08-27","Waikato","535911","198600","3"
"2023-08-27","Taranaki","1244447","100000","2"
"2023-08-27","Tasman","571485","8300","1"
"2023-08-27","Manawatu-Whanganui","885524","155700","3"
"2023-08-27","Otago","1334214","161500","4"
"2023-08-27","Hawke's Bay","6478427","135000","2"
"2023-08-27","Nelson","2148422","86000","2"
"2023-08-27","Gisborne","3383142","37000","1"
"2023-08-27","Northland","633943","65000","1"
"2023-08-27","West Coast","504961","15000","2"
"2023-08-27","Southland","1120753","58000","2"
"2023-08-20","Southland","1137149","58000","2"
"2023-08-20","West Coast","113327","15000","2"
"2023-08-20","Nelson","1985474","86000","2"
"2023-08-20","Canterbury","4669306","449000","4"
"2023-08-20","Waikato","928670","198600","3"
"2023-08-20","Taranaki","1081252","100000","2"
"2023-08-20","Tasman","435893","8300","1"
"2023-08-20","Manawatu-Whanganui","1813070","155700","3"
"2023-08-20","Gisborne","5127956","37000","1"
"2023-08-20","Hawke's Bay","6013220","135000","2"
"2023-08-20","Otago","1584137","161500","4"
"2023-08-20","Northland","791257","72400","4"
"2023-08-20","Bay of Plenty","2784366","202020","5"
"2023-08-20","Auckland","2389299","1355000","4"
"2023-08-20","Marlborough","1434844","31000","1"
"2023-08-20","Wellington","1937359","459200","6"
"2023-08-13","Hawke's Bay","6700276","135000","2"
"2023-08-13","Canterbury","1485057","449000","4"
"2023-08-13","Marlborough","272209","31000","1"
"2023-08-13","Waikato","4535120","192000","2"
"2023-08-13","Southland","1958008","58000","2"
"2023-08-13","Taranaki","3367547","100000","2"
"2023-08-13","Nelson","5170456","26000","1"
"2023-08-13","Northland","454817","70000","2"
"2023-08-13","Bay of Plenty","3013288","202020","5"
"2023-08-13","West Coast","89567","15000","2"
"2023-08-13","Otago","814855","161500","4"
"2023-08-13","Gisborne","3514919","37000","1"
"2023-08-13","Wellington","1404677","459200","6"
"2023-08-13","Auckland","1666138","1355000","4"
"2023-08-13","Manawatu-Whanganui","1795602","155700","3"
"2023-08-06","Northland","254700","5000","1"
"2023-08-06","Taranaki","1944876","100000","2"
"2023-08-06","Otago","889526","167700","5"
"2023-08-06","Southland","608837","58000","2"
"2023-08-06","Canterbury","1298086","449000","4"
"2023-08-06","Auckland","915860","1355000","4"
"2023-08-06","Bay of Plenty","1983634","202020","5"
"2023-08-06","Nelson","1080003","86000","2"
"2023-08-06","Wellington","2137061","459200","6"
"2023-08-06","West Coast","92100","5000","1"
"2023-08-06","Manawatu-Whanganui","929957","155700","3"
"2023-08-06","Waikato","1188332","192000","2"
"2023-08-06","Marlborough","277709","31000","1"
"2023-08-06","Hawke's Bay","1752474","135000","2"
"2023-07-30","Auckland","692548","1375900","5"
"2023-07-30","Gisborne","214183","37000","1"
"2023-07-30","Hawke's Bay","710256","135000","2"
"2023-07-30","Taranaki","1793199","100000","2"
"2023-07-30","Tasman","207140","8300","1"
"2023-07-30","Waikato","295830","192000","2"
"2023-07-30","Southland","333698","58000","2"
"2023-07-30","Northland","925229","66100","2"
"2023-07-30","Wellington","753264","459200","6"
"2023-07-30","Otago","756529","174800","6"
"2023-07-30","West Coast","226123","15000","2"
"2023-07-30","Manawatu-Whanganui","820127","155700","3"
"2023-07-30","Canterbury","1601616","449000","4"
"2023-07-30","Marlborough","289532","31000","1"
"2023-07-30","Bay of Plenty","854381","202020","5"
"2023-07-30","Nelson","1152323","86000","2"
"2023-07-23","Hawke's Bay","524999","135000","2"
"2023-07-23","Canterbury","778688","449000","4"
"2023-07-23","Marlborough","4973624","31000","1"
"2023-07-23","Southland","711734","50000","1"
"2023-07-23","Taranaki","1996812","100000","2"
"2023-07-23","Waikato","409105","192000","2"
"2023-07-23","Otago","480399","189300","7"
"2023-07-23","Nelson","1281672","26000","1"
"2023-07-23","Wellington","1419230","459200","6"
"2023-07-23","Northland","322496","70000","2"
"2023-07-23","Gisborne","937278","37000","1"
"2023-07-23","Bay of Plenty","1380547","202020","5"
"2023-07-23","West Coast","54233","15000","2"
"2023-07-23","Auckland","1073380","1375900","5"
"2023-07-23","Manawatu-Whanganui","951154","155700","3"
"2023-07-16","Marlborough","613788","31000","1"
"2023-07-16","Southland","727153","58000","2"
"2023-07-16","West Coast","80067","15000","2"
"2023-07-16","Taranaki","5122598","88000","1"
"2023-07-16","Tasman","5996293","8300","1"
"2023-07-16","Otago","900730","189300","7"
"2023-07-16","Nelson","2968914","26000","1"
"2023-07-16","Waikato","379294","192000","2"
"2023-07-16","Northland","335346","70000","2"
"2023-07-16","Canterbury","1648588","449000","4"
"2023-07-16","Gisborne","422099","37000","1"
"2023-07-16","Wellington","952976","459200","6"
"2023-07-16","Hawke's Bay","565975","135000","2"
"2023-07-16","Bay of Plenty","4202911","195020","4"
"2023-07-16","Manawatu-Whanganui","1553352","155700","3"
"2023-07-16","Auckland","888545","1115000","3"
"2023-07-09","Canterbury","2483668","475600","6"
"2023-07-09","Marlborough","6712042","31000","1"
"2023-07-09","Southland","625431","50000","1"
"2023-07-09","Hawke's Bay","1803940","135000","2"
"2023-07-09","Taranaki","1590966","100000","2"
"2023-07-09","Tasman","1100182","8300","1"
"2023-07-09","Otago","907662","189300","7"
"2023-07-09","Nelson","245609","86000","2"
"2023-07-09","Waikato","1327105","225200","4"
"2023-07-09","Northland","140952","72400","4"
"2023-07-09","Gisborne","4246994","37000","1"
"2023-07-09","Bay of Plenty","2862036","210220","6"
"2023-07-09","Wellington","2365122","459200","6"
"2023-07-09","Auckland","809997","1355000","4"
"2023-07-09","Manawatu-Whanganui","1502710","155700","3"
